key,enabled,identity,password,username
user-account-patron-01,true,"UserIdentity{name: 'Patron1', surname: 'Patron', email: 'patron1@patron.com'}",patron1,patron1
user-account-patron-02,true,"UserIdentity{name: 'Patron2', surname: 'Patron', email: 'patron2@patron.com'}",patron2,patron2
user-account-patron-03,true,"UserIdentity{name: 'Patron3', surname: 'Patron', email: 'patron3@patron.com'}",patron3,patron3
user-account-patron-04,true,"UserIdentity{name: 'Patron4', surname: 'Patron', email: 'patron4@patron.com'}",patron4,patron4
user-account-patron-05,true,"UserIdentity{name: 'Patron5', surname: 'Patron', email: 'patron5@patron.com'}",patron5,patron5
user-account-patron-06,true,"UserIdentity{name: 'Patron6', surname: 'Patron', email: 'patron6@patron.com'}",patron6,patron6
user-account-patron-07,true,"UserIdentity{name: 'Patron7', surname: 'Patron', email: 'patron7@patron.com'}",patron7,patron7
user-account-patron-08,true,"UserIdentity{name: 'Patron8', surname: 'Patron', email: 'patron8@patron.com'}",patron8,patron8
user-account-patron-09,true,"UserIdentity{name: 'Patron9', surname: 'Patron', email: 'patron9@patron.com'}",patron9,patron9
user-account-patron-10,true,"UserIdentity{name: 'Patron10', surname: 'Patron', email: 'patron10@patron.com'}",patron10,patron10
user-account-patron-11,true,"UserIdentity{name: 'Patron11', surname: 'Patron', email: 'patron11@patron.com'}",patron11,patron11
user-account-patron-12,true,"UserIdentity{name: 'Patron12', surname: 'Patron', email: 'patron12@patron.com'}",patron12,patron12
user-account-patron-13,true,"UserIdentity{name: 'Patron13', surname: 'Patron', email: 'patron13@patron.com'}",patron13,patron13
user-account-patron-14,true,"UserIdentity{name: 'Patron14', surname: 'Patron', email: 'patron14@patron.com'}",patron14,patron14
user-account-patron-15,true,"UserIdentity{name: 'Patron15', surname: 'Patron', email: 'patron15@patron.com'}",patron15,patron15
user-account-patron-16,true,"UserIdentity{name: 'Patron16', surname: 'Patron', email: 'patron16@patron.com'}",patron16,patron16
user-account-patron-17,true,"UserIdentity{name: 'Patron17', surname: 'Patron', email: 'patron17@patron.com'}",patron17,patron17
user-account-patron-18,true,"UserIdentity{name: 'Patron18', surname: 'Patron', email: 'patron18@patron.com'}",patron18,patron18
user-account-patron-19,true,"UserIdentity{name: 'Patron19', surname: 'Patron', email: 'patron19@patron.com'}",patron19,patron19
user-account-patron-20,true,"UserIdentity{name: 'Patron20', surname: 'Patron', email: 'patron20@patron.com'}",patron20,patron20
user-account-patron-21,true,"UserIdentity{name: 'Patron21', surname: 'Patron', email: 'patron21@patron.com'}",patron21,patron21
user-account-patron-22,true,"UserIdentity{name: 'Patron22', surname: 'Patron', email: 'patron22@patron.com'}",patron22,patron22
user-account-patron-23,true,"UserIdentity{name: 'Patron23', surname: 'Patron', email: 'patron23@patron.com'}",patron23,patron23
user-account-patron-24,true,"UserIdentity{name: 'Patron24', surname: 'Patron', email: 'patron24@patron.com'}",patron24,patron24
user-account-inventor-01,true,"UserIdentity{name: 'Inventor1', surname: 'Inventor', email: 'inventor1@inventor.com'}",inventor1,inventor1
user-account-inventor-02,true,"UserIdentity{name: 'Inventor2', surname: 'Inventor', email: 'inventor2@inventor.com'}",inventor2,inventor2
user-account-inventor-03,true,"UserIdentity{name: 'Inventor3', surname: 'Inventor', email: 'inventor3@inventor.com'}",inventor3,inventor3
user-account-inventor-04,true,"UserIdentity{name: 'Inventor4', surname: 'Inventor', email: 'inventor4@inventor.com'}",inventor4,inventor4
user-account-inventor-05,true,"UserIdentity{name: 'Inventor5', surname: 'Inventor', email: 'inventor5@inventor.com'}",inventor5,inventor5
user-account-inventor-06,true,"UserIdentity{name: 'Inventor6', surname: 'Inventor', email: 'inventor6@inventor.com'}",inventor6,inventor6
user-account-inventor-07,true,"UserIdentity{name: 'Inventor7', surname: 'Inventor', email: 'inventor7@inventor.com'}",inventor7,inventor7
user-account-inventor-08,true,"UserIdentity{name: 'Inventor8', surname: 'Inventor', email: 'inventor8@inventor.com'}",inventor8,inventor8
user-account-inventor-09,true,"UserIdentity{name: 'Inventor9', surname: 'Inventor', email: 'inventor9@inventor.com'}",inventor9,inventor9
user-account-inventor-10,true,"UserIdentity{name: 'Inventor10', surname: 'Inventor', email: 'inventor10@inventor.com'}",inventor10,inventor10
user-account-inventor-11,true,"UserIdentity{name: 'Inventor11', surname: 'Inventor', email: 'inventor11@inventor.com'}",inventor11,inventor11
user-account-inventor-12,true,"UserIdentity{name: 'Inventor12', surname: 'Inventor', email: 'inventor12@inventor.com'}",inventor12,inventor12
user-account-inventor-13,true,"UserIdentity{name: 'Inventor13', surname: 'Inventor', email: 'inventor13@inventor.com'}",inventor13,inventor13
user-account-inventor-14,true,"UserIdentity{name: 'Inventor14', surname: 'Inventor', email: 'inventor14@inventor.com'}",inventor14,inventor14
user-account-inventor-15,true,"UserIdentity{name: 'Inventor15', surname: 'Inventor', email: 'inventor15@inventor.com'}",inventor15,inventor15
user-account-inventor-16,true,"UserIdentity{name: 'Inventor16', surname: 'Inventor', email: 'inventor16@inventor.com'}",inventor16,inventor16
user-account-inventor-17,true,"UserIdentity{name: 'Inventor17', surname: 'Inventor', email: 'inventor17@inventor.com'}",inventor17,inventor17
user-account-inventor-18,true,"UserIdentity{name: 'Inventor18', surname: 'Inventor', email: 'inventor18@inventor.com'}",inventor18,inventor18
user-account-inventor-19,true,"UserIdentity{name: 'Inventor19', surname: 'Inventor', email: 'inventor19@inventor.com'}",inventor19,inventor19
user-account-inventor-20,true,"UserIdentity{name: 'Inventor20', surname: 'Inventor', email: 'inventor20@inventor.com'}",inventor20,inventor20
user-account-inventor-21,true,"UserIdentity{name: 'Inventor21', surname: 'Inventor', email: 'inventor21@inventor.com'}",inventor21,inventor21
user-account-inventor-22,true,"UserIdentity{name: 'Inventor22', surname: 'Inventor', email: 'inventor22@inventor.com'}",inventor22,inventor22
user-account-inventor-23,true,"UserIdentity{name: 'Inventor23', surname: 'Inventor', email: 'inventor23@inventor.com'}",inventor23,inventor23
user-account-inventor-24,true,"UserIdentity{name: 'Inventor24', surname: 'Inventor', email: 'inventor24@inventor.com'}",inventor24,inventor24
